4145962_0	tell me what is the people 's job title	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_758	i need the languages mastered of people named QUOTED_STRING_0	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_759	of people named QUOTED_STRING_0 , i need their mastered languages .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_760	i desire all QUOTED_STRING_0 people having languages mastered containing amharic , that have job title being QUOTED_STRING_1	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " amharic " ) ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_761	i demand all QUOTED_STRING_0 people having languages mastered containing amharic , that have job title being QUOTED_STRING_1	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " amharic " ) ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_762	get me what 's the email of people which have employers rudolf dassler .	[ email ] of @org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " rudolf dassler " ) ) ;
4145962_763	fetch me what 's the email of people which have employers rudolf dassler .	[ email ] of @org.schema.Person . Person ( ) filter contains ( worksFor , null ^^org.schema.Person:Organization ( " rudolf dassler " ) ) ;
4145962_764	please enumerate person which have both no fewer than 8 universities , and having position being QUOTED_STRING_0	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_765	please enumerate person which have no less than 8 universities , and having position being QUOTED_STRING_0	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 8 && jobTitle =~ QUOTED_STRING_0 ;
4145962_766	i would love the languages mastered of QUOTED_STRING_0 people	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_767	i would desire the languages mastered of QUOTED_STRING_0 people	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_768	tell me , what are the languages mastered of people	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_769	text me , what are the languages mastered of people	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_770	i would love to find every people which have more than 3 languages mastered .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_771	i would desire to find every people which have more than 3 languages mastered .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_772	text me what 's the college degrees that people with at most 3 languages mastered went to	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_773	show me what 's the college degrees that people with at most 3 languages mastered went to	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_774	i am searching for languages mastered which the people which have position equal to QUOTED_STRING_0 masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_775	i am seeking for languages mastered which the people which have position equal to QUOTED_STRING_0 masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_776	i want to know which languages people are fluent in .	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_777	what languages do they speak ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_778	search for those who are fluent in at least 4 languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_779	please list all individuals who speak greater than 3 languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_780	for individuals fluent in 3 or fewer languages , which academic degrees were obtained ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_781	i want to know the college degrees pursued by people who speak no more than 3 different tongues .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_782	for those who attained the status of QUOTED_STRING_0 , please list the languages spoken .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_783	i am interested in tongues spoken by anyone with the job of QUOTED_STRING_0 .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_784	what languages mastered do these people have ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_785	of these people , what languages have they mastered ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_786	list every person who has mastered 4 + languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_787	find all the people who have more than 3 languages mastered .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 3 ;
4145962_788	what college degree did people with less than 4 languages mastered receive ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_789	what college degree do people with 3 languages mastered or less have ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 3 ;
4145962_790	what languages do QUOTED_STRING_0 people master ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_791	of those people with job title QUOTED_STRING_0 , what languages do they master ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter jobTitle =~ QUOTED_STRING_0 ;
4145962_792	what telephone can i reach the people with a single mastered language at ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_793	what is the telephone of those with one mastered language ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_796	what are the languages mastered of the person that have fewer than 8 alma maters ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_797	what are the mastered languages of the person with max 8 alma maters ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_798	what is the fax number of the person who went to central washington ?	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_799	i need the fax of that person who attended central washington .	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_800	what is the current telephone number of people with 1 language mastered ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_801	what is the telephone number of people with 1 language mastered ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_804	show me what is the languages mastered that the person that have fewer than 8 alma maters masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_805	text me what is the languages mastered that the person that have fewer than 8 alma maters masters .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_806	tell me what is the fax number of person educated at central washington	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_807	grab me what is the fax number of person educated at central washington	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_808	tell me the number of people with 1 mastered language ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_809	can you give me the number of people who mastered one language ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_812	tell me the languages mastered by the person with fewer than 8 alma mater masters	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_813	for people with fewer than 8 alma maters mastered , tell me the languages they mastered	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 8 ;
4145962_814	give me the fax number for someone educated at central washington	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_815	for a person educated at central washington , give me their fax number	[ faxNumber ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " central washington " ) ) ;
4145962_816	show me everybody with less than 9 mastered languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_817	let me see all the people who are fluent in under 9 languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_818	find the person named QUOTED_STRING_0 with a work location equivalent to work .	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_819	i 'd like to see the individual called QUOTED_STRING_0 whose work location equals work .	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_820	what 's the position held by those people with under 9 colleges attended ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_821	what job title belongs to the individuals attending less then 9 universities ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_822	what are the languages that have been mastered by people ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_823	name the languages that people have learned fluently .	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_824	i demand all the people having fewer than 9 languages mastered .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_825	i desire all the people having fewer than 9 languages mastered .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_826	fetch an person which have name QUOTED_STRING_0 , , with work location equal to work	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_827	get an person which have name QUOTED_STRING_0 , , with work location equal to work	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_828	what position do the people with less than 9 universities have ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_829	tell me , what position do the people with fewer than 9 universities have ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_830	what languages mastered do person have ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_831	tell me , which languages mastered do person have ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_832	list all the people with mastery of less than 9 languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_833	who are all the people with mastery of 8 or fewer languages .	@org.schema.Person . Person ( ) filter count ( knowsLanguage ) <= 9 ;
4145962_834	find QUOTED_STRING_0 , who works at work location .	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_835	of people that work at their work location , find QUOTED_STRING_0	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . work ;
4145962_836	find the position of people with less than 9 universities attended .	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_837	what is the position of people with fewer than 9 universities attended ?	[ jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 9 ;
4145962_838	what languages mastered does this person have ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_839	this person has mastered which languages ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) ;
4145962_840	i need the telephone and link of this person .	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_841	what is this person 's telephone and link ?	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_842	what is this person 's job title ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_843	i need the job title of this person .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_844	what is the fax number and job title of people that have no more than 2 college degrees	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_845	of people that have no more than 2 college degrees , i need their fax number .	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_846	who speaks czech or azerbaijan in the languages mastered and lives in QUOTED_STRING_0 ?	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_847	of those who live in QUOTED_STRING_0 , find me those who have czech or azerbaijan in the languages mastered .	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_848	i would love both the telephone and link of person .	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_849	i would desire both the telephone and link of person .	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_850	what is the current job title of person ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_851	text me , what is the job title of person ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_852	i demand to know the fax number and job title of people that have no more than 2 college degrees	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_853	i need to know the current fax number and job title of people that have no more than 2 college degrees	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_854	what people have either czech or azerbaijan in the languages mastered and QUOTED_STRING_0 as city	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_855	tell me , which people have either czech or azerbaijan in the languages mastered and QUOTED_STRING_0 as city	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_856	show me the link and telephone of the person .	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_857	retrieve both the telephone of the link for the individual .	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_858	give me the person 's job title .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_859	retrieve the job position for the individual .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_860	show me the job position and fax number of each person who has 2 or less college degrees .	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_861	what is the job title and fax number of every person that has college degrees that equal to no more than 2 ?	[ faxNumber , jobTitle ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) <= 2 ;
4145962_862	show me all of the people who have QUOTED_STRING_0 as the city and mastered the languages of either azerbaijan or czech .	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_863	locate each person that mastered either the czech or azerbaijan languages and also has the city equal to QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter address . addressLocality =~ QUOTED_STRING_0 && ( contains ( knowsLanguage , null ^^tt:iso_lang_code ( " czech " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ) ;
4145962_864	i demand every QUOTED_STRING_0 person that are QUOTED_STRING_1 and having awards containing QUOTED_STRING_2	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_865	i desire every QUOTED_STRING_0 person that are QUOTED_STRING_1 and having awards containing QUOTED_STRING_2	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_866	i would love to know languages mastered the QUOTED_STRING_0 person knows .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_867	i would desire to know languages mastered the QUOTED_STRING_0 person knows .	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_868	fetch college degrees which the people which don't have more than 12 languages mastered and won the QUOTED_STRING_0 award attended	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_869	seek college degrees which the people which don't have more than 12 languages mastered and won the QUOTED_STRING_0 award attended	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_872	find all people named QUOTED_STRING_0 who work as a QUOTED_STRING_1 and won awards containing QUOTED_STRING_2	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_873	list all QUOTED_STRING_0 s whose name is QUOTED_STRING_1 and who have QUOTED_STRING_2 in their awards	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_874	tell me what languages the person named QUOTED_STRING_0 is fluent in	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_875	find the person named QUOTED_STRING_0 and tell me what languages they are proficient in	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_876	find winners of QUOTED_STRING_0 who speak no more than 12 languages and tell me what they college degrees are	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_877	search for people who won QUOTED_STRING_0 and speak no more than 12 languages , i need to know what their college degrees are	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_880	find all QUOTED_STRING_0 persons that are a QUOTED_STRING_1 and won awards containing QUOTED_STRING_2 .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_881	located QUOTED_STRING_0 a person who is a QUOTED_STRING_1 and won an awards containing QUOTED_STRING_2 .	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_2 ) && id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_882	what are the languages mastered of person QUOTED_STRING_0 ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_883	of those named QUOTED_STRING_0 , what languages have they mastered ?	[ knowsLanguage ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_884	find the college degrees of people who don't have more than 12 languages mastered and who have won the QUOTED_STRING_0 award .	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_885	locate the college degrees of people with mastery of less than NUMBER_0 languages and who have won the QUOTED_STRING_0 award .	[ alumniOf ] of @org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && count ( knowsLanguage ) <= 12 ;
4145962_888	list the people who have mastered either swedish or danish	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_889	can you get me a list of people who have mastered either swedish or danish	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_890	i want to know the work location of person	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_891	for person , give me the work location	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_892	can i see a photo of people who have mastered 7 languages	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_893	for people who have mastered 7 languages , show me a picture	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_894	give me the email of people who have 3 awards	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_895	for people who have 3 awards , give me their email	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_896	tell me who has mastery of swedish or danish .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_897	please list the people who have mastered swedish or danish .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_898	i would like to find where person works .	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_899	where does person work and where is it ?	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_900	find me a photo of people who have mastered 7 languages .	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_901	where can i find a photo of people who have mastered 7 languages ?	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_902	where is the email of people with 3 awards ?	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_903	find me the email of people awarded 3 times .	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_904	please grab person which have either swedish or danish in the languages mastered	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_905	please get person which have either swedish or danish in the languages mastered	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) ;
4145962_906	i would love the work location of person	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_907	i would desire the work location of person	[ workLocation ] of @org.schema.Person . Person ( ) ;
4145962_908	what is the current photo of people which have 7 languages mastered	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_909	tell me , what is the photo of people which have 7 languages mastered	[ image ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 7 ;
4145962_910	what is the email of people having 3 awards	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_911	who is the current email of people having 3 awards	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 3 ;
4145962_912	get me both the work location and link of QUOTED_STRING_0 person with position QUOTED_STRING_1 .	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_913	fetch me both the work location and link of QUOTED_STRING_0 person with position QUOTED_STRING_1 .	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_914	tell me the telephone of people called QUOTED_STRING_0 .	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_915	get me the telephone of people called QUOTED_STRING_0 .	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_916	what current job title does person have	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_917	tell me , what job title does person have	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_918	what are the people have 11 employers and languages mastered containing swedish ?	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_919	what people have both 11 employers and languages mastered containing swedish ?	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_920	give me the link and work location for QUOTED_STRING_0 people with the title QUOTED_STRING_1	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_921	for people called QUOTED_STRING_0 and who have the title QUOTED_STRING_1 give me a link and work location	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_924	tell me the job title this person has	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_925	i 'd like to know this person 's job title	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_926	give me a list of people with 11 employers and who have mastered languages including swedish	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_927	i want to know who has 11 employers and has mastered languages including swedish ?	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_928	find QUOTED_STRING_0 's work location and link if they have the position QUOTED_STRING_1	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && jobTitle =~ QUOTED_STRING_1 ;
4145962_929	find someone with the position QUOTED_STRING_0 and name QUOTED_STRING_1 and give me their work location and link	[ url , workLocation ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_1 && jobTitle =~ QUOTED_STRING_0 ;
4145962_930	give me QUOTED_STRING_0 's phone number	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_931	look up the telephone number for QUOTED_STRING_0	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_932	give me the job title for the person	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_933	tell me what job title the person has	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_934	find people that have mastered swedish and have 11 employers and give me their names	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_935	show me the people who have had 11 employers and also mastered the swedish language	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " swedish " ) ) && count ( worksFor ) == 11 ;
4145962_936	what position do people have ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_937	i would like to know what people 's positions are .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_938	what kind of telephone does the person QUOTED_STRING_0 have ?	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_939	does QUOTED_STRING_0 have what kind of telephone ?	[ telephone ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 ;
4145962_940	who is a QUOTED_STRING_0 holder and has a work location of home ?	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && workLocation == $location . home ;
4145962_941	who holds QUOTED_STRING_0 and has a work location equal to home ?	@org.schema.Person . Person ( ) filter contains~ ( award , QUOTED_STRING_0 ) && workLocation == $location . home ;
4145962_942	what is the email of someone who has 8 awards ?	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 8 ;
4145962_943	can you tell me the email of someone with 8 awards ?	[ email ] of @org.schema.Person . Person ( ) filter count ( award ) == 8 ;
4145962_944	what are the positions of these people ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_945	i need these people 's positions .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
